Area,Item,Year,Value,Pesticides,average_rain_fall,avg_temp
Algeria,"Chick peas, dry",2011,867.2,7612.21,89.0,17.79
Algeria,"Chick peas, dry",2012,905.5,8980.17,89.0,17.91
Algeria,"Chick peas, dry",2013,1193.0,8269.57,89.0,17.65
Algeria,"Lentils, dry",1990,219.0,5743.46,89.0,17.48
Algeria,"Lentils, dry",1991,487.2,7094.39,89.0,16.26
Algeria,"Lentils, dry",1992,579.9,3876.18,89.0,16.27
Algeria,"Lentils, dry",1993,431.5,3710.0,89.0,17.0
Algeria,"Lentils, dry",1994,232.5,4058.62,89.0,17.88
Algeria,"Lentils, dry",1995,300.7,6255.63,89.0,17.36
Algeria,"Lentils, dry",1996,612.4,2190.88,89.0,16.76
Algeria,"Lentils, dry",1997,301.4,1822.16,89.0,17.84
Algeria,"Lentils, dry",1998,522.6,1498.96,89.0,17.14
Algeria,"Lentils, dry",1999,374.5,2228.17,89.0,17.97
Algeria,"Lentils, dry",2000,281.2,2537.4,89.0,17.9
Algeria,"Lentils, dry",2001,497.8,2846.64,89.0,18.13
Algeria,"Lentils, dry",2002,472.8,3155.87,89.0,17.85
Algeria,"Lentils, dry",2004,711.1,3774.35,89.0,17.38
Algeria,"Lentils, dry",2005,388.1,2810.61,89.0,17.19
Algeria,"Lentils, dry",2006,540.2,2504.01,89.0,18.13
Algeria,"Lentils, dry",2007,642.6,3562.52,89.0,17.42
Algeria,"Lentils, dry",2008,789.6,5720.11,89.0,17.55
Algeria,"Lentils, dry",2009,1040.6,3168.41,89.0,17.78
Algeria,"Lentils, dry",2010,1084.3,1869.58,89.0,17.59
Algeria,"Lentils, dry",2011,740.8,7612.21,89.0,17.79
Algeria,"Lentils, dry",2012,919.0,8980.17,89.0,17.91
Algeria,"Lentils, dry",2013,1139.8,8269.57,89.0,17.65
Algeria,Maize (corn),1990,1650.0,5743.46,89.0,17.48
Algeria,Maize (corn),1991,1923.1,7094.39,89.0,16.26
Algeria,Maize (corn),1992,2282.8,3876.18,89.0,16.27
Algeria,Maize (corn),1993,1250.0,3710.0,89.0,17.0
Algeria,Maize (corn),1994,451.2,4058.62,89.0,17.88
Algeria,Maize (corn),1995,1611.5,6255.63,89.0,17.36
Algeria,Maize (corn),1996,1715.4,2190.88,89.0,16.76
Algeria,Maize (corn),1997,2141.7,1822.16,89.0,17.84
Algeria,Maize (corn),1998,1722.2,1498.96,89.0,17.14
Algeria,Maize (corn),1999,2237.5,2228.17,89.0,17.97
Algeria,Maize (corn),2000,3618.6,2537.4,89.0,17.9
Algeria,Maize (corn),2001,2717.5,2846.64,89.0,18.13
Algeria,Maize (corn),2002,3348.0,3155.87,89.0,17.85
Algeria,Maize (corn),2004,3172.9,3774.35,89.0,17.38
Algeria,Maize (corn),2005,3386.4,2810.61,89.0,17.19
Algeria,Maize (corn),2006,6566.8,2504.01,89.0,18.13
Algeria,Maize (corn),2007,8562.5,3562.52,89.0,17.42
Algeria,Maize (corn),2008,4471.4,5720.11,89.0,17.55
Algeria,Maize (corn),2009,3091.4,3168.41,89.0,17.78
Algeria,Maize (corn),2010,2582.7,1869.58,89.0,17.59
Algeria,Maize (corn),2011,2337.4,7612.21,89.0,17.79
Algeria,Maize (corn),2012,2558.3,8980.17,89.0,17.91
Algeria,Maize (corn),2013,3364.9,8269.57,89.0,17.65
Algeria,Oats,1990,503.2,5743.46,89.0,17.48
Algeria,Oats,1991,969.3,7094.39,89.0,16.26
Algeria,Oats,1992,752.3,3876.18,89.0,16.27
Algeria,Oats,1993,537.6,3710.0,89.0,17.0
Algeria,Oats,1994,465.7,4058.62,89.0,17.88
Algeria,Oats,1995,720.1,6255.63,89.0,17.36
Algeria,Oats,1996,1148.8,2190.88,89.0,16.76
Algeria,Oats,1997,667.0,1822.16,89.0,17.84
Algeria,Oats,1998,767.4,1498.96,89.0,17.14
Algeria,Oats,1999,851.2,2228.17,89.0,17.97
Algeria,Oats,2000,557.3,2537.4,89.0,17.9
Algeria,Oats,2001,878.5,2846.64,89.0,18.13
Algeria,Oats,2002,751.0,3155.87,89.0,17.85
Algeria,Oats,2004,1203.4,3774.35,89.0,17.38
Algeria,Oats,2005,1265.8,2810.61,89.0,17.19
Algeria,Oats,2006,1186.1,2504.01,89.0,18.13
Algeria,Oats,2007,1123.5,3562.52,89.0,17.42
Algeria,Oats,2008,630.1,5720.11,89.0,17.55
Algeria,Oats,2009,1249.8,3168.41,89.0,17.78
Algeria,Oats,2010,1242.8,1869.58,89.0,17.59
Algeria,Oats,2011,1292.1,7612.21,89.0,17.79
Algeria,Oats,2012,1286.9,8980.17,89.0,17.91
Algeria,Oats,2013,1349.9,8269.57,89.0,17.65
Algeria,Potatoes,1990,7893.6,5743.46,89.0,17.48
Algeria,Potatoes,1991,9074.7,7094.39,89.0,16.26
Algeria,Potatoes,1992,10791.7,3876.18,89.0,16.27
Algeria,Potatoes,1993,11121.5,3710.0,89.0,17.0
Algeria,Potatoes,1994,9507.8,4058.62,89.0,17.88
Algeria,Potatoes,1995,13676.8,6255.63,89.0,17.36
Algeria,Potatoes,1996,13462.9,2190.88,89.0,16.76
Algeria,Potatoes,1997,14104.2,1822.16,89.0,17.84
Algeria,Potatoes,1998,16025.6,1498.96,89.0,17.14
Algeria,Potatoes,1999,15353.2,2228.17,89.0,17.97
Algeria,Potatoes,2000,16614.3,2537.4,89.0,17.9
Algeria,Potatoes,2001,14701.8,2846.64,89.0,18.13
Algeria,Potatoes,2002,18377.4,3155.87,89.0,17.85
Algeria,Potatoes,2004,20358.5,3774.35,89.0,17.38
Algeria,Potatoes,2005,21626.7,2810.61,89.0,17.19
Algeria,Potatoes,2006,22068.9,2504.01,89.0,18.13
Algeria,Potatoes,2007,18992.7,3562.52,89.0,17.42
Algeria,Potatoes,2008,23639.3,5720.11,89.0,17.55
Algeria,Potatoes,2009,25076.4,3168.41,89.0,17.78
Algeria,Potatoes,2010,27052.6,1869.58,89.0,17.59
Algeria,Potatoes,2011,29280.6,7612.21,89.0,17.79
Algeria,Potatoes,2012,30429.1,8980.17,89.0,17.91
Algeria,Potatoes,2013,30321.8,8269.57,89.0,17.65
Algeria,Rice,1990,2800.0,5743.46,89.0,17.48
Algeria,Rice,1991,2678.6,7094.39,89.0,16.26
Algeria,Rice,1992,2473.9,3876.18,89.0,16.27
Algeria,Rice,1993,2312.1,3710.0,89.0,17.0
Algeria,Rice,1994,2138.7,4058.62,89.0,17.88
Algeria,Rice,1995,1961.5,6255.63,89.0,17.36
Algeria,Rice,1996,1788.1,2190.88,89.0,16.76
Algeria,Rice,1997,1500.0,1822.16,89.0,17.84
Algeria,Rice,1998,1503.2,1498.96,89.0,17.14
Algeria,Rice,1999,1398.3,2228.17,89.0,17.97
Algeria,Rice,2000,1310.1,2537.4,89.0,17.9
Algeria,Rice,2001,1237.1,2846.64,89.0,18.13
Algeria,Rice,2002,1305.0,3155.87,89.0,17.85
Algeria,Rice,2004,1289.1,3774.35,89.0,17.38
Algeria,Rice,2005,1305.3,2810.61,89.0,17.19
Algeria,Rice,2006,1280.4,2504.01,89.0,18.13
Algeria,Rice,2007,1340.7,3562.52,89.0,17.42
Algeria,Rice,2008,1397.9,5720.11,89.0,17.55
Algeria,Rice,2009,1461.5,3168.41,89.0,17.78
Algeria,Rice,2010,1532.0,1869.58,89.0,17.59
Algeria,Rice,2011,1608.9,7612.21,89.0,17.79
Algeria,Rice,2012,1666.7,8980.17,89.0,17.91
Algeria,Rice,2013,1777.8,8269.57,89.0,17.65
Algeria,Sorghum,1990,1657.1,5743.46,89.0,17.48
Algeria,Sorghum,1991,2423.1,7094.39,89.0,16.26
Algeria,Sorghum,1992,4000.0,3876.18,89.0,16.27
Algeria,Sorghum,1993,5000.0,3710.0,89.0,17.0
Algeria,Sorghum,1995,1266.7,6255.63,89.0,17.36
Algeria,Sorghum,1996,1475.0,2190.88,89.0,16.76
Algeria,Sorghum,1997,4000.0,1822.16,89.0,17.84
Algeria,Sorghum,1998,2450.0,1498.96,89.0,17.14
Algeria,Sorghum,1999,2700.0,2228.17,89.0,17.97
Algeria,Sorghum,2000,6950.0,2537.4,89.0,17.9
Algeria,Sorghum,2001,2775.0,2846.64,89.0,18.13
Algeria,Sorghum,2002,3390.0,3155.87,89.0,17.85
Algeria,Sorghum,2004,4331.6,3774.35,89.0,17.38
Algeria,Sorghum,2005,3348.6,2810.61,89.0,17.19
Algeria,Sorghum,2006,5672.8,2504.01,89.0,18.13
Algeria,Sorghum,2007,11905.9,3562.52,89.0,17.42
Algeria,Sorghum,2008,6178.6,5720.11,89.0,17.55
Algeria,Sorghum,2009,9046.5,3168.41,89.0,17.78
Algeria,Sorghum,2010,3028.6,1869.58,89.0,17.59
Algeria,Sorghum,2011,10000.0,7612.21,89.0,17.79
Algeria,Sorghum,2012,20600.0,8980.17,89.0,17.91
Algeria,Sorghum,2013,6000.0,8269.57,89.0,17.65
Algeria,Wheat,1990,631.5,5743.46,89.0,17.48
Algeria,Wheat,1991,1080.9,7094.39,89.0,16.26
Algeria,Wheat,1992,993.9,3876.18,89.0,16.27
Algeria,Wheat,1993,809.7,3710.0,89.0,17.0
Algeria,Wheat,1994,799.9,4058.62,89.0,17.88
Algeria,Wheat,1995,892.4,6255.63,89.0,17.36
Algeria,Wheat,1996,1309.0,2190.88,89.0,16.76
Algeria,Wheat,1997,801.6,1822.16,89.0,17.84
Algeria,Wheat,1998,884.7,1498.96,89.0,17.14
Algeria,Wheat,1999,1071.1,2228.17,89.0,17.97
Algeria,Wheat,2000,919.4,2537.4,89.0,17.9
Algeria,Wheat,2001,1110.4,2846.64,89.0,18.13
Algeria,Wheat,2002,1073.9,3155.87,89.0,17.85
Algeria,Wheat,2004,1358.2,3774.35,89.0,17.38
Algeria,Wheat,2005,1505.7,2810.61,89.0,17.19
Algeria,Wheat,2006,1506.8,2504.01,89.0,18.13
Algeria,Wheat,2007,1274.2,3562.52,89.0,17.42
Algeria,Wheat,2008,1103.8,5720.11,89.0,17.55
Algeria,Wheat,2009,1597.5,3168.41,89.0,17.78
Algeria,Wheat,2010,1483.8,1869.58,89.0,17.59
Algeria,Wheat,2011,1740.5,7612.21,89.0,17.79
Algeria,Wheat,2012,1763.9,8980.17,89.0,17.91
Algeria,Wheat,2013,1910.0,8269.57,89.0,17.65
Angola,Maize (corn),1990,273.6,64.0,1010.0,24.12
Angola,Maize (corn),1991,401.3,79.0,1010.0,24.02
Angola,Maize (corn),1992,377.8,23.0,1010.0,23.96
Angola,Maize (corn),1993,262.7,169.0,1010.0,24.15
Angola,Maize (corn),1994,246.3,89.5,1010.0,24.04
Angola,Maize (corn),1995,351.7,336.0,1010.0,24.56
Angola,Maize (corn),1996,699.3,40.0,1010.0,24.11
Angola,Maize (corn),1997,595.9,40.0,1010.0,24.06
Angola,Maize (corn),1998,739.6,40.0,1010.0,24.96
Angola,Maize (corn),1999,636.1,40.0,1010.0,24.37
Angola,Maize (corn),2000,574.5,40.0,1010.0,24.41
Angola,Maize (corn),2001,575.4,40.0,1010.0,24.43
Angola,Maize (corn),2002,670.6,40.0,1010.0,24.79
Angola,Maize (corn),2004,540.4,40.0,1010.0,24.22
Angola,Maize (corn),2005,673.6,40.0,1010.0,24.41
Angola,Maize (corn),2006,468.7,40.0,1010.0,24.14
Angola,Maize (corn),2007,509.1,40.0,1010.0,24.24
Angola,Maize (corn),2008,794.6,40.0,1010.0,24.27
Angola,Maize (corn),2009,661.4,40.0,1010.0,24.33
Angola,Maize (corn),2010,720.0,40.0,1010.0,24.44
Angola,Maize (corn),2011,737.6,40.0,1010.0,24.15
Angola,Maize (corn),2012,777.0,40.0,1010.0,24.24
Angola,Maize (corn),2013,946.7,40.0,1010.0,24.55
Angola,Potatoes,1990,4000.0,64.0,1010.0,24.12
Angola,Potatoes,1991,4000.0,79.0,1010.0,24.02
Angola,Potatoes,1992,4000.0,23.0,1010.0,23.96
Angola,Potatoes,1993,7000.0,169.0,1010.0,24.15
Angola,Potatoes,1994,9000.0,89.5,1010.0,24.04
Angola,Potatoes,1995,7694.2,336.0,1010.0,24.56
Angola,Potatoes,1996,7000.0,40.0,1010.0,24.11
Angola,Potatoes,1997,6857.1,40.0,1010.0,24.06
Angola,Potatoes,1998,6287.2,40.0,1010.0,24.96
Angola,Potatoes,1999,5459.7,40.0,1010.0,24.37
Angola,Potatoes,2000,2988.5,40.0,1010.0,24.41
Angola,Potatoes,2001,4255.2,40.0,1010.0,24.43
Angola,Potatoes,2002,4275.4,40.0,1010.0,24.79
Angola,Potatoes,2004,2015.0,40.0,1010.0,24.22
Angola,Potatoes,2005,2364.6,40.0,1010.0,24.41
Angola,Potatoes,2006,5214.8,40.0,1010.0,24.14
Angola,Potatoes,2007,6213.8,40.0,1010.0,24.24
Angola,Potatoes,2008,8508.5,40.0,1010.0,24.27
Angola,Potatoes,2009,8650.9,40.0,1010.0,24.33
Angola,Potatoes,2010,8742.5,40.0,1010.0,24.44
Angola,Potatoes,2011,8136.6,40.0,1010.0,24.15
Angola,Potatoes,2012,6938.1,40.0,1010.0,24.24
Angola,Potatoes,2013,6330.3,40.0,1010.0,24.55
Angola,Rice,1990,951.2,64.0,1010.0,24.12
Angola,Rice,1991,1000.0,79.0,1010.0,24.02
Angola,Rice,1992,914.2,23.0,1010.0,23.96
Angola,Rice,1993,800.0,169.0,1010.0,24.15
Angola,Rice,1994,875.0,89.5,1010.0,24.04
Angola,Rice,1995,1461.5,336.0,1010.0,24.56
Angola,Rice,1996,1750.0,40.0,1010.0,24.11
Angola,Rice,1997,2000.0,40.0,1010.0,24.06
Angola,Rice,1998,2000.0,40.0,1010.0,24.96
Angola,Rice,1999,1423.5,40.0,1010.0,24.37
Angola,Rice,2000,1345.4,40.0,1010.0,24.41
Angola,Rice,2001,1370.1,40.0,1010.0,24.43
Angola,Rice,2002,1319.8,40.0,1010.0,24.79
Angola,Rice,2004,1158.4,40.0,1010.0,24.22
Angola,Rice,2005,697.7,40.0,1010.0,24.41
Angola,Rice,2006,494.7,40.0,1010.0,24.14
Angola,Rice,2007,514.3,40.0,1010.0,24.24
Angola,Rice,2008,508.4,40.0,1010.0,24.27
Angola,Rice,2009,602.8,40.0,1010.0,24.33
Angola,Rice,2010,740.3,40.0,1010.0,24.44
Angola,Rice,2011,891.4,40.0,1010.0,24.15
Angola,Rice,2012,770.3,40.0,1010.0,24.24
Angola,Rice,2013,1274.4,40.0,1010.0,24.55
Angola,Sorghum,2000,333.3,40.0,1010.0,24.41
Angola,Sorghum,2001,357.1,40.0,1010.0,24.43
Angola,Sorghum,2002,340.0,40.0,1010.0,24.79
Angola,Sorghum,2004,333.3,40.0,1010.0,24.22
Angola,Sorghum,2005,333.3,40.0,1010.0,24.41
Angola,Sorghum,2006,409.1,40.0,1010.0,24.14
Angola,Sorghum,2007,403.1,40.0,1010.0,24.24
Angola,Sorghum,2008,92.9,40.0,1010.0,24.27
Angola,Sorghum,2009,248.0,40.0,1010.0,24.33
Angola,Sorghum,2010,281.4,40.0,1010.0,24.44
Angola,Sorghum,2011,332.0,40.0,1010.0,24.15
Angola,Sorghum,2012,99.8,40.0,1010.0,24.24
Angola,Sorghum,2013,241.5,40.0,1010.0,24.55
Angola,Soya beans,2000,233.3,40.0,1010.0,24.41
Angola,Soya beans,2001,250.0,40.0,1010.0,24.43
Angola,Soya beans,2002,285.7,40.0,1010.0,24.79
Angola,Soya beans,2004,360.0,40.0,1010.0,24.22
Angola,Soya beans,2005,379.3,40.0,1010.0,24.41
Angola,Soya beans,2006,428.6,40.0,1010.0,24.14
Angola,Soya beans,2007,688.3,40.0,1010.0,24.24
Angola,Soya beans,2008,857.5,40.0,1010.0,24.27
Angola,Soya beans,2009,444.9,40.0,1010.0,24.33
Angola,Soya beans,2010,444.6,40.0,1010.0,24.44
Angola,Soya beans,2011,529.4,40.0,1010.0,24.15
Angola,Soya beans,2012,164.1,40.0,1010.0,24.24
Angola,Soya beans,2013,440.5,40.0,1010.0,24.55
Angola,Wheat,1990,799.5,64.0,1010.0,24.12
Angola,Wheat,1991,800.0,79.0,1010.0,24.02
Angola,Wheat,1992,800.0,23.0,1010.0,23.96
Angola,Wheat,1993,886.2,169.0,1010.0,24.15
Angola,Wheat,1994,1000.0,89.5,1010.0,24.04
